name	ID	manual	auto	checked	blacklisted
negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_0061296	1	0	1	0
negative regulation of mesenchymal cell apoptotic process	GO_2001054	1	0	1	0
metanephric mesenchymal cell proliferation involved in metanephros development	GO_0072136	1	0	1	0
metanephric mesenchymal cell migration	GO_0035789	1	0	1	0
metanephric mesenchymal cell differentiation	GO_0072162	1	0	1	0
metanephric cap mesenchymal cell proliferation involved in metanephros development	GO_0090094	1	0	1	0
mesothelial-mesenchymal cell signaling involved in early lung development	GO_0061142	1	0	1	0
mesonephric mesenchymal cell proliferation involved in mesonephros development	GO_0061222	1	0	1	0
mesonephric mesenchymal cell differentiation	GO_0061223	1	0	1	0
mesenchymal cell proliferation involved in ureteric bud development	GO_0072138	1	0	1	0
mesenchymal cell proliferation involved in ureter development	GO_0072198	1	0	1	0
mesenchymal cell proliferation involved in prostate gland development	GO_0060781	1	0	1	0
mesenchymal cell proliferation involved in lung development	GO_0060916	1	0	1	0
mesenchymal cell proliferation	GO_0010463	1	0	1	0
mesenchymal cell migration involved in limb bud formation	GO_0035322	1	0	1	0
mesenchymal cell fate commitment	GO_0014030	1	0	1	0
mesenchymal cell differentiation involved in salivary gland development	GO_0060692	1	0	1	0
mesenchymal cell differentiation involved in renal system development	GO_2001012	1	0	1	0
mesenchymal cell differentiation involved in mammary gland development	GO_0060610	1	0	1	0
mesenchymal cell differentiation involved in lung development	GO_0060915	1	0	1	0
mesenchymal cell differentiation	GO_0048762	1	0	1	0
mesenchymal cell development	GO_0014031	1	0	1	0
mesenchymal cell condensation involved in mammary fat development	GO_0060647	1	0	1	0
mesenchymal cell apoptotic process involved in nephron morphogenesis	GO_1901145	1	0	1	0
mesenchymal cell apoptotic process involved in metanephros development	GO_1900200	1	0	1	0
mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis	GO_1901147	1	0	1	0
mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_1901146	1	0	1	0
mesenchymal cell apoptotic process	GO_0097152	1	0	1	0
epithelial-mesenchymal cell signaling involved in lung development	GO_0061111	1	0	1	0
epithelial-mesenchymal cell signaling	GO_0060684	1	0	1	0
epicardial cell to mesenchymal cell transition	GO_0003347	1	0	1	0
creation of an inductive signal by a mesenchymal cell involved in lung induction	GO_0060511	1	0	1	0
condensed mesenchymal cell proliferation	GO_0072137	1	0	1	0
regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0003339	0	1	0	0
regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000084	0	1	0	0
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0072108	0	1	0	0
positive regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000086	0	1	0	0
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0003340	0	1	0	0
negative regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000085	0	1	0	0
mesenchymal to epithelial transition	GO_0060231	0	1	0	0
