name	ID	manual	auto	checked	blacklisted
regulation of peroxisome proliferator activated receptor signaling pathway	GO_0035358	1	1	1	0
positive regulation of peroxisome proliferator activated receptor signaling pathway	GO_0035360	1	1	1	0
peroxisome proliferator activated receptor signaling pathway	GO_0035357	1	1	1	0
negative regulation of peroxisome proliferator activated receptor signaling pathway	GO_0035359	1	1	1	0
