name	ID	manual	auto	checked	blacklisted
negative regulation of apoptotic process involved in metanephric collecting duct development	GO_1900215	1	1	1	0
metanephric tubule morphogenesis	GO_0072173	1	1	1	0
metanephric tubule formation	GO_0072174	1	1	1	0
metanephric tubule development	GO_0072170	1	1	1	0
metanephric short nephron development	GO_0072270	1	1	1	0
metanephric renal vesicle morphogenesis	GO_0072283	1	1	1	0
metanephric renal vesicle induction	GO_0072094	1	1	1	0
metanephric renal vesicle formation	GO_0072093	1	1	1	0
metanephric pyramids development	GO_0072211	1	1	1	0
metanephric proximal tubule morphogenesis	GO_0072288	1	1	1	0
metanephric proximal tubule development	GO_0072237	1	1	1	0
metanephric proximal straight tubule development	GO_0072230	1	1	1	0
metanephric proximal convoluted tubule segment 2 development	GO_0072232	1	1	1	0
metanephric proximal convoluted tubule segment 1 development	GO_0072231	1	1	1	0
metanephric proximal convoluted tubule development	GO_0072229	1	1	1	0
metanephric prebend segment development	GO_0072228	1	1	1	0
metanephric part of ureteric bud development	GO_0035502	1	1	1	0
metanephric nephron tubule morphogenesis	GO_0072282	1	1	1	0
metanephric nephron tubule formation	GO_0072289	1	1	1	0
metanephric nephron tubule development	GO_0072234	1	1	1	0
metanephric nephron morphogenesis	GO_0072273	1	1	1	0
metanephric nephron development	GO_0072210	1	1	1	0
metanephric mesenchyme morphogenesis	GO_0072133	1	1	1	0
metanephric mesenchyme development	GO_0072075	1	1	1	0
metanephric mesangial cell differentiation	GO_0072209	1	1	1	0
metanephric macula densa development	GO_0072227	1	1	1	0
metanephric loop of Henle development	GO_0072236	1	1	1	0
metanephric long nephron development	GO_0072238	1	1	1	0
metanephric late distal convoluted tubule development	GO_0072225	1	1	1	0
metanephric juxtaglomerulus cell fate commitment	GO_0072253	1	1	1	0
metanephric juxtaglomerulus cell differentiation	GO_0072251	1	1	1	0
metanephric juxtaglomerulus cell development	GO_0072252	1	1	1	0
metanephric juxtaglomerular apparatus development	GO_0072206	1	1	1	0
metanephric intraglomerular mesangial cell proliferation	GO_0072263	1	1	1	0
metanephric interstitial fibroblast fate commitment	GO_0072260	1	1	1	0
metanephric interstitial fibroblast differentiation	GO_0072258	1	1	1	0
metanephric interstitial fibroblast development	GO_0072259	1	1	1	0
metanephric glomerulus vasculature morphogenesis	GO_0072276	1	1	1	0
metanephric glomerulus vasculature development	GO_0072239	1	1	1	0
metanephric glomerulus morphogenesis	GO_0072275	1	1	1	0
metanephric glomerulus development	GO_0072224	1	1	1	0
metanephric glomerular mesangium development	GO_0072223	1	1	1	0
metanephric glomerular mesangial cell proliferation involved in metanephros development	GO_0072262	1	1	1	0
metanephric glomerular mesangial cell fate commitment	GO_0072256	1	1	1	0
metanephric glomerular mesangial cell differentiation	GO_0072254	1	1	1	0
metanephric glomerular mesangial cell development	GO_0072255	1	1	1	0
metanephric glomerular basement membrane development	GO_0072274	1	1	1	0
metanephric extraglomerular mesangial cell proliferation involved in metanephros development	GO_0072261	1	1	1	0
metanephric early distal convoluted tubule development	GO_0072222	1	1	1	0
metanephric distal tubule morphogenesis	GO_0072287	1	1	1	0
metanephric distal tubule development	GO_0072235	1	1	1	0
metanephric distal convoluted tubule development	GO_0072221	1	1	1	0
metanephric cortical collecting duct development	GO_0072219	1	1	1	0
metanephric cortex development	GO_0072214	1	1	1	0
metanephric connecting tubule development	GO_0072286	1	1	1	0
metanephric comma-shaped body morphogenesis	GO_0072278	1	1	1	0
metanephric collecting duct development	GO_0072205	1	1	1	0
metanephric capsule specification	GO_0072267	1	1	1	0
metanephric capsule morphogenesis	GO_0072265	1	1	1	0
metanephric capsule formation	GO_0072266	1	1	1	0
metanephric capsule development	GO_0072213	1	1	1	0
metanephric cap specification	GO_0072188	1	1	1	0
metanephric cap morphogenesis	GO_0072186	1	1	1	0
metanephric cap formation	GO_0072187	1	1	1	0
metanephric cap development	GO_0072185	1	1	1	0
metanephric S-shaped body morphogenesis	GO_0072284	1	1	1	0
metanephric DCT cell fate commitment	GO_0072242	1	1	1	0
metanephric DCT cell differentiation	GO_0072240	1	1	1	0
metanephric DCT cell development	GO_0072241	1	1	1	0
mesonephric tubule morphogenesis	GO_0072171	1	1	1	0
mesonephric tubule formation	GO_0072172	1	1	1	0
mesonephric tubule development	GO_0072164	1	1	1	0
mesonephric renal vesicle morphogenesis	GO_0061243	1	1	1	0
mesonephric renal vesicle induction	GO_0061294	1	1	1	0
mesonephric renal vesicle formation	GO_0061262	1	1	1	0
mesonephric proximal tubule morphogenesis	GO_0061276	1	1	1	0
mesonephric proximal tubule development	GO_0061275	1	1	1	0
mesonephric nephron tubule morphogenesis	GO_0061240	1	1	1	0
mesonephric nephron tubule formation	GO_0061277	1	1	1	0
mesonephric nephron tubule development	GO_0061242	1	1	1	0
mesonephric mesangial cell differentiation	GO_0061260	1	1	1	0
mesonephric juxtaglomerulus cell fate commitment	GO_0061230	1	1	1	0
mesonephric juxtaglomerulus cell differentiation	GO_0061207	1	1	1	0
mesonephric juxtaglomerulus cell development	GO_0061229	1	1	1	0
mesonephric juxtaglomerular apparatus development	GO_0061212	1	1	1	0
mesonephric intraglomerular mesangial cell proliferation	GO_0061270	1	1	1	0
mesonephric glomerulus vasculature morphogenesis	GO_0061248	1	1	1	0
mesonephric glomerulus vasculature development	GO_0061231	1	1	1	0
mesonephric glomerulus morphogenesis	GO_0061234	1	1	1	0
mesonephric glomerulus development	GO_0061224	1	1	1	0
mesonephric glomerular mesangium development	GO_0061247	1	1	1	0
mesonephric glomerular mesangial cell proliferation involved in mesonephros development	GO_0061269	1	1	1	0
mesonephric glomerular mesangial cell fate commitment	GO_0061264	1	1	1	0
mesonephric glomerular mesangial cell differentiation	GO_0061259	1	1	1	0
mesonephric glomerular mesangial cell development	GO_0061263	1	1	1	0
mesonephric glomerular basement membrane development	GO_0061233	1	1	1	0
mesonephric distal tubule morphogenesis	GO_0061273	1	1	1	0
mesonephric distal tubule development	GO_0061274	1	1	1	0
mesonephric connecting tubule development	GO_0061272	1	1	1	0
mesenchymal stem cell maintenance involved in metanephric nephron morphogenesis	GO_0072309	1	1	1	0
mesenchymal stem cell differentiation involved in metanephric nephron morphogenesis	GO_0072281	1	1	1	0
mesenchymal cell differentiation involved in kidney development	GO_0072161	1	1	1	0
maintenance of kidney identity	GO_0072005	1	1	1	0
loop of Henle development	GO_0072070	1	1	1	0
kidney vasculature morphogenesis	GO_0061439	1	1	1	0
kidney vasculature development	GO_0061440	1	1	1	0
kidney stroma development	GO_0072072	1	1	1	0
kidney smooth muscle tissue development	GO_0072194	1	1	1	0
kidney smooth muscle cell differentiation	GO_0072195	1	1	1	0
kidney rudiment formation	GO_0072003	1	1	1	0
kidney morphogenesis	GO_0060993	1	1	1	0
kidney mesenchyme morphogenesis	GO_0072131	1	1	1	0
kidney mesenchyme development	GO_0072074	1	1	1	0
kidney mesenchymal cell proliferation	GO_0072135	1	1	1	0
kidney interstitial fibroblast differentiation	GO_0072071	1	1	1	0
kidney field specification	GO_0072004	1	1	1	0
kidney epithelium development	GO_0072073	1	1	1	0
kidney development	GO_0001822	1	1	1	0
juxtaglomerulus cell fate commitment	GO_0072150	1	1	1	0
juxtaglomerulus cell differentiation	GO_0072052	1	1	1	0
juxtaglomerulus cell development	GO_0072142	1	1	1	0
juxtaglomerular apparatus development	GO_0072051	1	1	1	0
intraglomerular mesangial cell proliferation	GO_0072123	1	1	1	0
inner medullary collecting duct development	GO_0072061	1	1	1	0
head kidney structural organization	GO_0072119	1	1	1	0
head kidney morphogenesis	GO_0072115	1	1	1	0
head kidney maturation	GO_0072121	1	1	1	0
head kidney formation	GO_0072117	1	1	1	0
head kidney development	GO_0072113	1	1	1	0
glomerulus morphogenesis	GO_0072102	1	1	1	0
glomerulus development	GO_0032835	1	1	1	0
glomerular mesangium development	GO_0072109	1	1	1	0
glomerular mesangial cell proliferation	GO_0072110	1	1	1	0
glomerular mesangial cell fate commitment	GO_0072152	1	1	1	0
glomerular mesangial cell differentiation	GO_0072008	1	1	1	0
glomerular mesangial cell development	GO_0072144	1	1	1	0
glomerular basement membrane development	GO_0032836	1	1	1	0
extraglomerular mesangial cell proliferation	GO_0072122	1	1	1	0
establishment of planar polarity involved in metanephric nephron morphogenesis	GO_0072280	1	1	1	0
convergent extension involved in metanephric nephron morphogenesis	GO_0072279	1	1	1	0
cell-cell signaling involved in kidney development	GO_0060995	1	1	1	0
cell proliferation involved in kidney development	GO_0072111	1	1	1	0
cell migration involved in kidney development	GO_0035787	1	1	1	0
cell differentiation involved in kidney development	GO_0061005	1	1	1	0
anterior/posterior pattern specification involved in kidney development	GO_0072098	1	1	1	0
tubuloglomerular feedback	GO_0003098	1	0	1	0
renal tubule morphogenesis	GO_0061333	1	0	1	0
renal tubule development	GO_0061326	1	0	1	0
renal system segmentation	GO_0061150	1	0	1	0
renal system pattern specification	GO_0072048	1	0	1	0
renal system development	GO_0072001	1	0	1	0
proximal/distal pattern formation, imaginal disc	GO_0007449	1	0	1	0
proximal/distal pattern formation	GO_0009954	1	0	1	0
proximal/distal axis specification	GO_0009946	1	0	1	0
ureteric bud morphogenesis	GO_0060675	0	1	1	0
ureteric bud invasion	GO_0072092	0	1	1	0
ureteric bud formation	GO_0060676	0	1	1	0
ureteric bud elongation	GO_0060677	0	1	1	0
ureteric bud development	GO_0001657	0	1	1	0
ureter part of ureteric bud development	GO_0035503	0	1	1	0
trifid subdivision of terminal units involved in ureteric bud branching	GO_0060679	0	1	1	0
thick ascending limb development	GO_0072023	0	1	1	0
specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway	GO_0072101	0	1	1	0
specification of ureteric bud anterior/posterior symmetry	GO_0072100	0	1	1	0
specification of loop of Henle identity	GO_0072086	0	1	1	0
specification of connecting tubule identity	GO_0072085	0	1	1	0
specification of anterior mesonephric tubule identity	GO_0072168	0	1	1	0
short nephron development	GO_0072030	0	1	1	0
short descending thin limb development	GO_0072063	0	1	1	0
retinoic acid receptor signaling pathway involved in pronephros anterior/posterior pattern specification	GO_0034671	0	1	1	0
retinoic acid receptor signaling pathway involved in pronephric field specification	GO_0035576	0	1	1	0
renal artery morphogenesis	GO_0061441	0	1	1	0
regulation of ureteric bud formation	GO_0072106	0	1	1	0
regulation of transcription from RNA polymerase II promoter involved in metanephros development	GO_0072212	0	1	1	0
regulation of transcription from RNA polymerase II promoter involved in mesonephros development	GO_0061216	0	1	1	0
regulation of pronephros size	GO_0035565	0	1	1	0
regulation of pronephric nephron tubule development	GO_1900206	0	1	1	0
regulation of pre-tubular aggregate formation by cell-cell signaling	GO_0072043	0	1	1	0
regulation of nephron tubule epithelial cell differentiation	GO_0072182	0	1	1	0
regulation of metanephros size	GO_0035566	0	1	1	0
regulation of metanephros development	GO_0072215	0	1	1	0
regulation of metanephric nephron tubule epithelial cell differentiation	GO_0072307	0	1	1	0
regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway	GO_1900238	0	1	1	0
regulation of metanephric mesenchymal cell migration	GO_2000589	0	1	1	0
regulation of metanephric glomerular visceral epithelial cell development	GO_2000477	0	1	1	0
regulation of metanephric cap mesenchymal cell proliferation	GO_0090095	0	1	1	0
regulation of mesonephros development	GO_0061217	0	1	1	0
regulation of mesonephric nephron tubule epithelial cell differentiation	GO_2000093	0	1	1	0
regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0003339	0	1	1	0
regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000084	0	1	1	0
regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	GO_0072039	0	1	1	0
regulation of mesenchymal cell apoptotic process involved in metanephros development	GO_1900211	0	1	1	0
regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis	GO_0072304	0	1	1	0
regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_0061295	0	1	1	0
regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	GO_2000733	0	1	1	0
regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	GO_2000702	0	1	1	0
regulation of epithelial cell differentiation involved in kidney development	GO_2000696	0	1	1	0
regulation of cell proliferation involved in mesonephros development	GO_2000606	0	1	1	0
regulation of cell proliferation involved in kidney development	GO_1901722	0	1	1	0
regulation of branching involved in ureteric bud morphogenesis	GO_0090189	0	1	1	0
regulation of branch elongation involved in ureteric bud branching	GO_0072095	0	1	1	0
rectal diverticulum development	GO_0039009	0	1	1	0
pyramid development	GO_0072056	0	1	1	0
pronephros structural organization	GO_0072118	0	1	1	0
pronephros morphogenesis	GO_0072114	0	1	1	0
pronephros maturation	GO_0072120	0	1	1	0
pronephros formation	GO_0072116	0	1	1	0
pronephros development	GO_0048793	0	1	1	0
pronephric sinus development	GO_0039012	0	1	1	0
pronephric nephron tubule epithelial cell differentiation	GO_0035778	0	1	1	0
pronephric nephron morphogenesis	GO_0039007	0	1	1	0
pronephric nephron development	GO_0039019	0	1	1	0
pronephric field specification	GO_0039003	0	1	1	0
pronephric duct morphogenesis	GO_0039023	0	1	1	0
pronephric duct development	GO_0039022	0	1	1	0
primary ureteric bud growth	GO_0060682	0	1	1	0
prebend segment development	GO_0072066	0	1	1	0
pre-tubular aggregate formation	GO_0072035	0	1	1	0
posterior mesonephric tubule development	GO_0072166	0	1	1	0
positive regulation of ureteric bud formation	GO_0072107	0	1	1	0
positive regulation of nephron tubule epithelial cell differentiation	GO_2000768	0	1	1	0
positive regulation of metanephros development	GO_0072216	0	1	1	0
positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway	GO_0035793	0	1	1	0
positive regulation of metanephric mesenchymal cell migration	GO_2000591	0	1	1	0
positive regulation of metanephric glomerular visceral epithelial cell development	GO_2000478	0	1	1	0
positive regulation of metanephric cap mesenchymal cell proliferation	GO_0090096	0	1	1	0
positive regulation of mesonephros development	GO_0061213	0	1	1	0
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0072108	0	1	1	0
positive regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000086	0	1	1	0
positive regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	GO_0072041	0	1	1	0
positive regulation of mesenchymal cell apoptotic process involved in metanephros development	GO_1900213	0	1	1	0
positive regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis	GO_0072306	0	1	1	0
positive regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_0061297	0	1	1	0
positive regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	GO_2000735	0	1	1	0
positive regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	GO_2000704	0	1	1	0
positive regulation of epithelial cell differentiation involved in kidney development	GO_2000698	0	1	1	0
positive regulation of cell proliferation involved in mesonephros development	GO_2000608	0	1	1	0
